sitrep,report_date,publication_date,status,zone,province,confirmed_cases,confirmed_deaths,population_2024,zone_cfr_pct,cases_per_100k
055,2026-07-08,2026-07-09,provisional,Bunia,Ituri,487,141,268128,29.0,181.6
055,2026-07-08,2026-07-09,provisional,Rwampara,Ituri,370,80,134068,21.6,276.0
055,2026-07-08,2026-07-09,provisional,Mongbwalu,Ituri,315,167,133371,53.0,236.2
055,2026-07-08,2026-07-09,provisional,Nizi,Ituri,104,36,141651,34.6,73.4
055,2026-07-08,2026-07-09,provisional,Nyankunde,Ituri,97,22,97949,22.7,99.0
055,2026-07-08,2026-07-09,provisional,Katwa,Nord-Kivu,61,41,411346,67.2,14.8
055,2026-07-08,2026-07-09,provisional,Mangala,Ituri,43,23,92662,53.5,46.4
055,2026-07-08,2026-07-09,provisional,Butembo,Nord-Kivu,42,20,316182,47.6,13.3
055,2026-07-08,2026-07-09,provisional,Lita,Ituri,41,16,128175,39.0,32.0
055,2026-07-08,2026-07-09,provisional,Nia-Nia,Ituri,35,13,71361,37.1,49.0
055,2026-07-08,2026-07-09,provisional,Bambu,Ituri,29,10,148752,34.5,19.5
055,2026-07-08,2026-07-09,provisional,Beni,Nord-Kivu,29,19,382409,65.5,7.6
055,2026-07-08,2026-07-09,provisional,Komanda,Ituri,23,8,184816,34.8,12.4
055,2026-07-08,2026-07-09,provisional,Tchomia,Ituri,15,2,110386,13.3,13.6
055,2026-07-08,2026-07-09,provisional,Kilo,Ituri,9,1,55902,11.1,16.1
055,2026-07-08,2026-07-09,provisional,Musienene,Nord-Kivu,8,2,249370,25.0,3.2
055,2026-07-08,2026-07-09,provisional,Logo,Ituri,7,0,240552,0.0,2.9
055,2026-07-08,2026-07-09,provisional,Aungba,Ituri,6,2,158181,33.3,3.8
055,2026-07-08,2026-07-09,provisional,Damas,Ituri,5,0,116731,0.0,4.3
055,2026-07-08,2026-07-09,provisional,Mandima,Ituri,5,2,138196,40.0,3.6
055,2026-07-08,2026-07-09,provisional,Fataki,Ituri,4,1,128262,25.0,3.1
055,2026-07-08,2026-07-09,provisional,Kyondo,Nord-Kivu,4,2,215154,50.0,1.9
055,2026-07-08,2026-07-09,provisional,Mambasa,Ituri,4,3,95906,75.0,4.2
055,2026-07-08,2026-07-09,provisional,Rimba,Ituri,4,0,211373,0.0,1.9
055,2026-07-08,2026-07-09,provisional,Aru,Ituri,3,1,181110,33.3,1.7
055,2026-07-08,2026-07-09,provisional,Drodro,Ituri,3,3,154777,100.0,1.9
055,2026-07-08,2026-07-09,provisional,Masereka,Nord-Kivu,3,0,177664,0.0,1.7
055,2026-07-08,2026-07-09,provisional,Miti-Murhesa,Sud-Kivu,3,1,239135,33.3,1.3
055,2026-07-08,2026-07-09,provisional,Oicha,Nord-Kivu,3,2,336160,66.7,0.9
055,2026-07-08,2026-07-09,provisional,Kalunguta,Nord-Kivu,2,1,199559,50.0,1.0
055,2026-07-08,2026-07-09,provisional,Kambala,Ituri,2,2,123772,100.0,1.6
055,2026-07-08,2026-07-09,provisional,Boga,Ituri,1,1,67785,100.0,1.5
055,2026-07-08,2026-07-09,provisional,Gety,Ituri,1,0,186541,0.0,0.5
055,2026-07-08,2026-07-09,provisional,Goma,Nord-Kivu,1,0,251728,0.0,0.4
055,2026-07-08,2026-07-09,provisional,Lolwa,Ituri,1,1,45779,100.0,2.2
055,2026-07-08,2026-07-09,provisional,Mabalako,Nord-Kivu,1,0,186148,0.0,0.5
055,2026-07-08,2026-07-09,provisional,Vuhovi,Nord-Kivu,1,1,121520,100.0,0.8
056,2026-07-09,2026-07-10,final,Bunia,Ituri,495,149,268128,30.1,184.6
056,2026-07-09,2026-07-10,final,Rwampara,Ituri,373,83,134068,22.3,278.2
056,2026-07-09,2026-07-10,final,Mongbwalu,Ituri,327,170,133371,52.0,245.2
056,2026-07-09,2026-07-10,final,Nizi,Ituri,107,36,141651,33.6,75.5
056,2026-07-09,2026-07-10,final,Nyankunde,Ituri,97,22,97949,22.7,99.0
056,2026-07-09,2026-07-10,final,Katwa,Nord-Kivu,66,45,411346,68.2,16.0
